Date,Ridership
3/18/2008,748000
3/19/2008,743000
3/20/2008,765000
3/21/2008,693000
3/22/2008,321000
3/23/2008,196000
3/24/2008,684000
3/25/2008,744000
3/26/2008,773000
3/27/2008,751000
3/28/2008,765000
3/29/2008,569000
3/30/2008,323000
3/31/2008,692000
4/1/2008,764000
4/2/2008,783000
4/3/2008,777000
4/4/2008,763000
4/5/2008,453000
4/6/2008,249000
4/7/2008,731000
4/8/2008,748000
4/9/2008,796000
4/10/2008,792000
4/11/2008,819000
4/12/2008,467000
4/13/2008,267000
4/14/2008,725000
4/15/2008,766000
4/16/2008,777000
4/17/2008,819000
4/18/2008,754000
4/19/2008,360000
4/20/2008,193000
4/21/2008,685000
4/22/2008,769000
4/23/2008,797000
4/24/2008,822000
4/25/2008,788000
4/26/2008,369000
4/27/2008,236000
4/28/2008,670000
4/29/2008,749000
4/30/2008,761000
5/1/2008,755000
5/2/2008,784000
5/3/2008,367000
5/4/2008,256000
5/5/2008,708000
5/6/2008,743000
5/7/2008,747000
5/8/2008,734000
5/9/2008,701000
5/10/2008,349000
5/11/2008,186000
5/12/2008,641000
5/13/2008,751000
5/14/2008,757000
5/15/2008,770000
5/16/2008,728000
5/17/2008,360000
5/18/2008,207000
5/19/2008,735000
5/20/2008,748000
5/21/2008,776000
5/22/2008,751000
5/23/2008,730000
5/24/2008,384000
5/25/2008,349000
5/26/2008,300000
5/27/2008,709000
5/28/2008,753000
5/29/2008,768000
5/30/2008,774000
5/31/2008,292000
6/1/2008,254000
6/2/2008,744000
6/3/2008,807000
6/4/2008,771000
6/5/2008,812000
6/6/2008,788000
6/7/2008,388000
6/8/2008,235000
6/9/2008,745000
6/10/2008,771000
6/11/2008,799000
6/12/2008,800000
6/13/2008,705000
6/14/2008,323000
6/15/2008,241000
6/16/2008,734000
6/17/2008,806000
6/18/2008,815000
6/19/2008,814000
6/20/2008,823000
6/21/2008,405000
6/22/2008,287000
6/23/2008,771000
6/24/2008,830000
6/25/2008,840000
6/26/2008,814000
6/27/2008,819000
6/28/2008,428000
6/29/2008,305000
6/30/2008,755000
7/1/2008,818000
7/2/2008,831000
7/3/2008,800000
7/4/2008,588000
7/5/2008,373000
7/6/2008,253000
7/7/2008,737000
7/8/2008,829000
7/9/2008,811000
7/10/2008,839000
7/11/2008,849000
7/12/2008,405000
7/13/2008,262000
7/14/2008,766000
7/15/2008,824000
7/16/2008,825000
7/17/2008,834000
7/18/2008,804000
7/19/2008,356000
7/20/2008,241000
7/21/2008,759000
7/22/2008,796000
7/23/2008,804000
7/24/2008,808000
7/25/2008,786000
7/26/2008,357000
7/27/2008,223000
7/28/2008,762000
7/29/2008,829000
7/30/2008,812000
7/31/2008,810000
8/1/2008,797000
8/2/2008,363000
8/3/2008,274000
8/4/2008,733000
8/5/2008,769000
8/6/2008,773000
8/7/2008,762000
8/8/2008,741000
8/9/2008,351000
8/10/2008,208000
8/11/2008,709000
8/12/2008,771000
8/13/2008,770000
8/14/2008,769000
8/15/2008,744000
8/16/2008,371000
8/17/2008,242000
8/18/2008,680000
8/19/2008,718000
8/20/2008,718000
8/21/2008,725000
8/22/2008,708000
8/23/2008,309000
8/24/2008,204000
8/25/2008,666000
8/26/2008,728000
8/27/2008,723000
8/28/2008,710000
8/29/2008,671000
8/30/2008,326000
8/31/2008,253000
9/1/2008,225000
9/2/2008,698000
9/3/2008,744000
9/4/2008,738000
9/5/2008,739000
9/6/2008,194000
9/7/2008,213000
9/8/2008,724000
9/9/2008,737000
9/10/2008,757000
9/11/2008,765000
9/12/2008,734000
9/13/2008,352000
9/14/2008,224000
9/15/2008,732000
9/16/2008,771000
9/17/2008,777000
9/18/2008,787000
9/19/2008,774000
9/20/2008,348000
9/21/2008,240000
9/22/2008,715000
9/23/2008,773000
9/24/2008,777000
9/25/2008,761000
9/26/2008,727000
9/27/2008,330000
9/28/2008,195000
9/29/2008,706000
9/30/2008,720000
10/1/2008,738000
10/2/2008,772000
10/3/2008,762000
10/4/2008,359000
10/5/2008,264000
10/6/2008,736000
10/7/2008,775000
10/8/2008,770000
10/9/2008,747000
10/10/2008,759000
10/11/2008,387000
10/12/2008,256000
10/13/2008,409000
10/14/2008,743000
10/15/2008,765000
10/16/2008,766000
10/17/2008,771000
10/18/2008,365000
10/19/2008,229000
10/20/2008,715000
10/21/2008,743000
10/22/2008,752000
10/23/2008,757000
10/24/2008,769000
10/25/2008,321000
10/26/2008,314000
